area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms,price_per_sqft
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,27.0,1.0,0.04584040747028863
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,GrrvaGr,1415.0,3.0,3.0,78.0,3.0,0.05512367491166078
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,98.29,3.0,0.05500279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,125.0,3.0,0.06994963626189143
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0,3.0,0.061016949152542375
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,GrrvaGr,2000.0,4.0,1.0,75.5,4.0,0.03775
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,44.28,2.0,0.045
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1630.0,2.0,2.0,74.82,3.0,0.04590184049079754
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405.0,4.0,2.0,260.0,3.0,0.10810810810810811
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0,2.0,0.06666666666666667
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,GrrvaGr,1500.0,2.0,1.0,115.0,2.0,0.07666666666666666
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrrvaGr,1900.0,3.0,2.0,119.0,3.0,0.06263157894736843
Super built-up  Area,19-Aug,Dommasandra,2 BHK,GrrvaGr,805.0,2.0,1.0,22.14,2.0,0.027503105590062114
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4,2.0,0.04891587163920208
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0,2.0,0.05226480836236934
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0,2.0,0.04954954954954955
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100.0,2.0,2.0,42.0,2.0,0.038181818181818185
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0,2.0,0.08527131782945736
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,GrrvaGr,1500.0,2.0,1.0,65.0,3.0,0.043333333333333335
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,GrrvaGr,1080.0,2.0,2.0,39.0,2.0,0.03611111111111111
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933.0,3.0,1.0,129.0,3.0,0.06673564407656493
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,GrrvaGr,3500.0,5.0,2.0,150.0,5.0,0.04285714285714286
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,GrrvaGr,1060.0,2.0,2.0,60.0,2.0,0.05660377358490566
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1.0,0.025503875968992246
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,GrrvaGr,2600.0,8.0,2.0,180.0,8.0,0.06923076923076923
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1.0,0.025503875968992246
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0,3.0,0.051094890510948905
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285.0,2.0,3.0,72.5,2.0,0.05642023346303502
Plot  Area,Ready To Move,Electronic City,3 Bedroom,GrrvaGr,1200.0,3.0,1.0,90.0,3.0,0.075
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910.0,2.0,1.0,40.0,2.0,0.04395604395604396
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0,3.0,0.04438807863031072
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050.0,3.0,2.0,280.0,3.0,0.0691358024691358
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420.0,3.0,2.0,185.0,3.0,0.07644628099173553
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,GrrvaGr,1060.0,2.0,2.0,55.0,2.0,0.05188679245283019
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0,2.0,0.07322834645669292
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,GrrvaGr,1280.0,2.0,1.0,69.0,2.0,0.05390625
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,GrrvaGr,1200.0,2.0,0.0,95.0,4.0,0.07916666666666666
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,GrrvaGr,1025.0,2.0,2.0,36.0,2.0,0.0351219512195122
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108.0,2.0,1.0,63.0,2.0,0.05685920577617329
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,GrrvaGr,1200.0,5.0,2.0,170.0,5.0,0.14166666666666666
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045.0,3.0,2.0,170.0,3.0,0.05582922824302135
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900.0,3.0,2.0,300.0,4.0,0.10344827586206896
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500.0,3.0,2.0,75.5,3.0,0.050333333333333334
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,2.0,43.9,2.0,0.0338996138996139
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,59.9,2.0,0.05154905335628227
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035.0,2.0,2.0,49.2,2.0,0.04753623188405797
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600.0,4.0,0.0,52.8,4.0,0.033
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,GrrvaGr,1464.0,3.0,2.0,46.0,3.0,0.031420765027322405
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866.0,2.0,2.0,61.58,3.0,0.0330010718113612
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700.0,1.0,1.0,26.0,2.0,0.037142857142857144
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804.0,3.0,2.0,120.0,3.0,0.06651884700665188
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,GrrvaGr,913.0,2.0,1.0,32.0,2.0,0.03504928806133625
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868.0,3.0,2.0,131.0,3.0,0.07012847965738758
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,GrrvaGr,883.0,2.0,1.0,45.0,2.0,0.05096262740656852
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,GrrvaGr,900.0,2.0,1.0,110.0,2.0,0.12222222222222222
Super built-up  Area,Ready To Move,Kogilu,3 BHK,GrrvaGr,1664.0,2.0,3.0,73.95,3.0,0.04444110576923077
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026.0,3.0,2.0,132.0,3.0,0.06515301085883514
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210.0,2.0,1.0,80.9,2.0,0.0668595041322314
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111.0,4.0,2.0,250.0,4.0,0.06081245439065921
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,91.45,3.0,0.05190124858115778
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,55.0,3.0,0.0439297124600639
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861.0,2.0,1.0,34.5,2.0,0.04006968641114982
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420.0,2.0,1.0,100.0,3.0,0.07042253521126761
Plot  Area,Ready To Move,Srirampura,6 Bedroom,GrrvaGr,1450.0,6.0,0.0,250.0,6.0,0.1724137931034483
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,78.8,3.0,0.05288590604026845
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrrvaGr,1075.0,2.0,1.0,46.0,3.0,0.04279069767441861
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425.0,2.0,2.0,94.0,3.0,0.06596491228070175
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200.0,2.0,1.0,40.0,2.0,0.03333333333333333
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrrvaGr,1280.0,2.0,2.0,56.0,3.0,0.04375
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084.0,2.0,2.0,50.0,2.0,0.046125461254612546
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015.0,2.0,2.0,25.88,2.0,0.025497536945812808
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017.0,2.0,1.0,51.25,2.0,0.05039331366764995
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,GrrvaGr,1027.0,2.0,2.0,44.0,2.0,0.042843232716650435
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069.0,2.0,2.0,45.0,2.0,0.042095416276894296
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.2,2.0,0.07279466271312084
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005.0,2.0,1.0,50.0,2.0,0.04975124378109453
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417.0,2.0,3.0,75.0,2.0,0.0529287226534933
Plot  Area,18-Jan,TC Palaya,3 Bedroom,GrrvaGr,1475.0,3.0,1.0,98.0,3.0,0.06644067796610169
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950.0,2.0,2.0,47.0,2.0,0.049473684210526316
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0,4.0,0.06
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,GrrvaGr,880.0,3.0,1.0,140.0,3.0,0.1590909090909091
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863.0,3.0,2.0,104.0,4.0,0.055823939881910895
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,29.5,2.0,0.02920792079207921
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425.0,2.0,1.0,70.0,3.0,0.04912280701754386
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450.0,3.0,0.0,100.0,3.0,0.06896551724137931
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,105.0,3.0,0.0568489442338928
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100.0,2.0,3.0,45.0,2.0,0.04090909090909091
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.0,1.0,0.049523809523809526
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,95.0,3.0,0.057057057057057055
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664.0,4.0,3.0,65.0,4.0,0.0390625
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850.0,3.0,3.0,150.0,3.0,0.08108108108108109
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438.0,2.0,3.0,100.0,2.0,0.06954102920723226
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560.0,3.0,3.0,115.0,3.0,0.07371794871794872
Super built-up  Area,18-Apr,Yelahanka,2 BHK,GrrvaGr,1350.0,2.0,1.0,55.55,2.0,0.04114814814814815
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,67.0,3.0,0.043225806451612905
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,GrrvaGr,1140.0,2.0,2.0,46.5,2.0,0.04078947368421053
Plot  Area,Ready To Move,Srirampura,5 Bedroom,GrrvaGr,1200.0,5.0,2.0,180.0,5.0,0.15
Super built-up  Area,18-Dec,Kodathi,2 BHK,GrrvaGr,850.0,2.0,2.0,27.0,2.0,0.03176470588235294
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280.0,2.0,2.0,75.0,2.0,0.05859375
Built-up  Area,Ready To Move,Munnekollal,2 BHK,GrrvaGr,1170.0,2.0,2.0,52.0,2.0,0.044444444444444446
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,51.0,2.0,0.04582210242587601
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385.0,2.0,1.0,83.09,2.0,0.059992779783393506
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.0,2.0,0.057624113475177305
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,GrrvaGr,1200.0,2.0,2.0,128.0,2.0,0.10666666666666667
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,GrrvaGr,1200.0,4.0,3.0,165.0,4.0,0.1375
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,415.0,3.0,0.17364016736401675
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,GrrvaGr,2400.0,4.0,1.0,400.0,4.0,0.16666666666666666
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464.0,3.0,2.0,56.0,3.0,0.03825136612021858
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,GrrvaGr,1200.0,2.0,2.0,55.0,2.0,0.04583333333333333
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200.0,2.0,2.0,52.0,2.0,0.043333333333333335
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,55.0,3.0,0.04782608695652174
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645.0,3.0,2.0,95.0,3.0,0.057750759878419454
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,GrrvaGr,1000.0,2.0,1.0,67.0,2.0,0.067
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,GrrvaGr,2650.0,4.0,2.0,198.0,4.0,0.07471698113207548
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192.0,2.0,2.0,74.0,2.0,0.06208053691275168
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135.0,3.0,2.0,215.0,3.0,0.10070257611241218
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173.0,2.0,1.0,58.0,2.0,0.0494458653026428
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020.0,2.0,2.0,45.0,2.0,0.04411764705882353
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,230.0,4.0,0.07367072389493914
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,GrrvaGr,1600.0,3.0,3.0,64.0,3.0,0.04
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,GrrvaGr,1200.0,2.0,0.0,79.0,2.0,0.06583333333333333
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,GrrvaGr,1230.0,2.0,3.0,48.0,2.0,0.03902439024390244
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250.0,2.0,2.0,40.0,2.0,0.032
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325.0,2.0,2.0,76.0,2.0,0.057358490566037736
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,1.0,150.0,3.0,0.08108108108108109
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,2.0,2.0,21.53,1.0,0.041009523809523815
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,GrrvaGr,1200.0,2.0,2.0,65.0,2.0,0.05416666666666667
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,GrrvaGr,1350.0,2.0,0.0,140.0,3.0,0.1037037037037037
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260.0,3.0,1.0,49.36,3.0,0.039174603174603174
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800.0,3.0,0.0,150.0,3.0,0.08333333333333333
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,43.25,2.0,0.03931818181818182
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508.0,2.0,1.0,77.0,2.0,0.05106100795755968
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592.0,3.0,2.0,75.0,3.0,0.0471105527638191
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388.0,2.0,3.0,57.0,2.0,0.04106628242074928
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630.0,1.0,1.0,28.35,1.0,0.045000000000000005
Plot  Area,Ready To Move,RMV,3 Bedroom,GrrvaGr,2000.0,3.0,2.0,365.0,3.0,0.1825
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,GrrvaGr,1762.0,3.0,1.0,125.0,3.0,0.07094211123723042
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,GrrvaGr,950.0,2.0,2.0,50.0,2.0,0.05263157894736842
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252.0,5.0,3.0,335.0,4.0,0.10301353013530136
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116.0,2.0,1.0,50.0,2.0,0.044802867383512544
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,2.0,89.04,2.0,0.06807339449541285
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,GrrvaGr,1200.0,3.0,0.0,90.0,3.0,0.075
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,GrrvaGr,1500.0,4.0,2.0,230.0,4.0,0.15333333333333332
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrrvaGr,500.0,1.0,1.0,18.5,1.0,0.037
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075.0,2.0,1.0,52.0,2.0,0.04837209302325581
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrrvaGr,1205.0,2.0,3.0,66.0,2.0,0.054771784232365145
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075.0,2.0,2.0,60.0,2.0,0.05581395348837209
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930.0,2.0,2.0,39.0,2.0,0.041935483870967745
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380.0,2.0,1.0,60.0,2.0,0.043478260869565216
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483.0,5.0,2.0,212.0,4.0,0.08538058799838905
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166.0,2.0,2.0,55.0,2.0,0.04716981132075472
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050.0,2.0,1.0,65.0,2.0,0.06190476190476191
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0,3.0,0.13588903548433323
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,46.8,2.0,0.039
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600.0,2.0,1.0,108.0,3.0,0.0675
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935.0,3.0,2.0,110.0,3.0,0.056847545219638244
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451.0,1.0,0.0,29.9,1.0,0.06629711751662971
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800.0,3.0,2.0,95.0,3.0,0.05277777777777778
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400.0,3.0,0.0,77.0,3.0,0.055
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801.0,3.0,2.0,115.0,3.0,0.06385341476957246
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451.0,2.0,2.0,90.0,2.0,0.06202618883528601
Plot  Area,19-Jan,Anekal,2 Bedroom,GrrvaGr,1200.0,1.0,1.0,36.0,2.0,0.03
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160.0,2.0,2.0,44.0,2.0,0.03793103448275862
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,40.0,2.0,0.042105263157894736
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,GrrvaGr,1629.0,3.0,2.0,79.0,3.0,0.048496009821976674
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,GrrvaGr,1580.0,2.0,0.0,134.0,3.0,0.08481012658227848
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826.0,3.0,2.0,121.0,3.0,0.06626506024096386
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245.0,2.0,1.0,94.0,2.0,0.07550200803212852
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145.0,2.0,2.0,45.79,2.0,0.03999126637554585
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825.0,2.0,1.0,33.0,2.0,0.04
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693.0,3.0,3.0,108.0,3.0,0.0637920850561134
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2.0,2.0,53.0,2.0,0.047607498630161595
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460.0,2.0,1.0,58.0,2.0,0.03972602739726028
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050.0,2.0,1.0,32.0,2.0,0.030476190476190476
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260.0,2.0,2.0,55.0,2.0,0.04365079365079365
Super built-up  Area,Ready To Move,K N Extension,6 BHK,GrrvaGr,700.0,3.0,2.0,120.0,6.0,0.17142857142857143
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656.0,2.0,1.0,120.0,2.0,0.07246376811594203
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208.0,3.0,1.0,45.0,3.0,0.037251655629139076
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910.0,3.0,2.0,161.0,3.0,0.08429319371727749
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252.0,4.0,1.0,230.0,4.0,0.07072570725707257
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,GrrvaGr,1200.0,2.0,1.0,65.0,2.0,0.05416666666666667
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,GrrvaGr,1200.0,4.0,1.0,175.0,4.0,0.14583333333333334
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175.0,2.0,1.0,82.0,2.0,0.06978723404255319
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,GrrvaGr,1000.0,2.0,0.0,165.0,2.0,0.165
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,GrrvaGr,1200.0,2.0,0.0,125.0,4.0,0.10416666666666667
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,410.0,3.0,0.17154811715481172
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,GrrvaGr,12000.0,6.0,3.0,2200.0,7.0,0.18333333333333332
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,GrrvaGr,550.0,1.0,1.0,62.0,2.0,0.11272727272727273
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185.0,2.0,2.0,38.0,2.0,0.032067510548523206
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750.0,2.0,1.0,38.0,2.0,0.050666666666666665
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,GrrvaGr,1200.0,7.0,3.0,250.0,6.0,0.20833333333333334
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550.0,3.0,3.0,64.5,3.0,0.04161290322580645
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760.0,3.0,2.0,88.0,3.0,0.05
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125.0,2.0,2.0,62.0,2.0,0.05511111111111111
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,GrrvaGr,1350.0,3.0,2.0,150.0,3.0,0.1111111111111111
Plot  Area,17-Dec,Anandapura,2 Bedroom,GrrvaGr,1000.0,2.0,1.0,55.0,2.0,0.055
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,GrrvaGr,1090.0,2.0,2.0,31.48,2.0,0.028880733944954128
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,GrrvaGr,1200.0,2.0,0.0,60.0,2.0,0.05
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991.0,4.0,2.0,103.0,3.0,0.05173279758915118
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105.0,2.0,1.0,75.0,2.0,0.06787330316742081
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985.0,2.0,2.0,67.0,2.0,0.06802030456852792
Plot  Area,Ready To Move,Chandapura,6 Bedroom,GrrvaGr,1533.0,5.0,3.0,85.0,6.0,0.055446836268754074
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590.0,3.0,2.0,79.0,3.0,0.04968553459119497
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120.0,2.0,2.0,55.0,2.0,0.049107142857142856
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069.0,2.0,1.0,55.0,2.0,0.05144995322731525
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933.0,3.0,2.0,140.0,3.0,0.07242628039317124
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194.0,2.0,0.0,69.0,2.0,0.05778894472361809
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150.0,2.0,3.0,69.0,2.0,0.06
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,GrrvaGr,1240.0,2.0,2.0,47.12,2.0,0.038
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,2.0,48.1,2.0,0.03389711064129669
